index,time,chainId,txhash,gasUsed,gasPrice,ethPrice,batchSize
0,1704904525.096,1,0xc1a34a2e4dab0946da6571dbc16ffa412093e7f91a4b152b02071da4d7421ca7,323821,7072294392,1.000,1
1,1704904525.799,1,0x5d87c0986e650b4febcb691e41cc69f5a4a35ad3efdfc183400baf5a9ee20a8c,347866,14790927552,1.000,1
2,1704904526.732,1,0x0ad2b2cf4adeb8ff291fd09c9c875136990a3c0f531ac7fcbf3a7250af739f90,340856,20224677223,1.000,1
3,1704904527.441,1,0x90959d5461b1cce87d116bfb1d2929fabe61373cd6a8c5cdb136f1992289d27f,449085,18382644738,1.000,2
4,1704904528.402,1,0x5f2c0077115f9cbcd76a27d057ca6e5cc63ca34029b17ffc5023d68b5d87060b,332652,16574293229,1.000,1
5,1704904529.102,1,0x8b5d4b499830eef4515d3d3c9152fbafa14162f5181f48dc3ac9f8831098882a,683011,7453360672,1.000,4
6,1704904529.799,1,0x51f14e4e73b788e8a199993383bba6929f8f074783225f437872bcea4082bd8c,555076,19102214649,1.000,3
7,1704904530.479,1,0x3426e0157656bd125fe06bdea822f2d9201988d960dd3011511e764ae28655de,323833,33029365157,1.000,1
8,1704904531.173,1,0xc7ec43bd617e41459ca9af9e67050f18af69d812a01a2779fccca9a8fbeed6ca,796617,5915717469,1.000,5
9,1704904531.849,1,0xc01ceb847bfb8fc8c57175f81be77db2eaa3cef6e35dede41d13bcb3cec97476,347248,33734660699,1.000,1
10,1704904532.738,1,0xc6c067d0c378b3445cb83a92ba44d47063d60a19ae1e8e7a5562dac7ace994d4,347878,20673966168,1.000,1
11,1704904533.429,1,0xc988de299df210d553c517ec412dcbe47d69dff736688faf61fe5df85adaf962,340844,25665810319,1.000,1
12,1704904534.141,1,0xfc9b802b867aaba537659d3e5755059e25c60f6443656b9b670b0c0561901c92,1156221,14175627254,1.000,8
13,1704904534.829,1,0x9abee8d3cd74a4fcf4f1d12a77cddd33731e65830a93b9d5618dbce882cd37b0,465521,20860403109,1.000,2
14,1704904535.809,1,0xcb9f1f10b417b3fc91de96690140b9b77c1851e04c63af8507e9486bbd833cee,347680,21224546350,1.000,1
15,1704904536.722,1,0x980f9ba49367916275a03495cc65b756468d3b1fd78b0c706e86ef11c87f7ce4,347620,22823949601,1.000,1
16,1704904537.754,1,0xaba135b58e1a02422fea8783c1475fb11e433568c9268a851c67e923981e7bb7,347644,19814769534,1.000,1
17,1704904538.75,1,0x5428e8a9cd963b8ca08a197595fe40430226f020dc99e6ce08a539f1bcee9af2,465683,110554393352,1.000,2
18,1704904539.431,1,0x22f2f8c77d82bf3e7c7c4f9112be347d9e3ad284de8db4e1120aff5b79513008,497921,34553471130,1.000,2
19,1704904540.286,1,0x838d5ce31494d6c8033f99158df02e452752480e74dffc9e866811cec8d37b35,349489,14488044325,1.000,1
20,1704904540.994,1,0x93bd35672006423bae549a67f8624a58884e38868107c9535dd899b04e46f3b0,587904,42196974603,1.000,3
21,1704904541.671,1,0x36715185727d3830a36a1950b888b6b8596a2ed74bd3d35788bb4e0f0d8a3977,312778,26839865624,1.000,1
22,1704904542.56,1,0xd962a21bcfc92c80f903f370f6c396b49731e8348140551d1c2fd46e93005828,323967,13225042132,1.000,1
23,1704904543.249,1,0xb89dac29eac11a9482a554ac2f2ffb7c4abda8c829549952fd36fd838e16d912,465557,23921183968,1.000,2
24,1704904543.933,1,0x6fa1c3877c30bf1bf8dc563a35180019f012f95b433a6506ddbd76c488095d2a,573811,28550550032,1.000,3
25,1704904544.603,1,0xc695647d1b7dfae8336f8a913a00e886d6f4f3839554e06c26c832ac26bb669b,465233,21136202940,1.000,2
26,1704904545.305,1,0x4f8a1332627342d7a1f8782c8fa104cfe70202941008e282f2b8af470b9f5d39,792723,25642556132,1.000,5
27,1704904546.337,1,0x836e1dcad2ff887dfe6c2d9cff982fe9a23b065ee6ccb34fd2c4627566d0278f,340832,27077107137,1.000,1
28,1704904547.104,1,0xe37d99176c59272f4dc206b7600e7222fa931ceb53717eb3e946cc256a6ddab4,347668,13366393166,1.000,1
29,1704904548.059,1,0xa280d99148a17508c6398291b4fb24951b063018c3e4424b694fe7b2e7b04fb6,323377,25173702699,1.000,1
30,1704904548.752,1,0xc96d3e65aa17e07ad1876f841a5cf345d780fe09b04fb6949bf339d79b3179d3,347692,33725210376,1.000,1
31,1704904549.686,1,0xbc95aeefe4c01b98a913fe233cb297c7851bdc368c75c6acfd0cf3aefeeb62c6,347810,29413692963,1.000,1
32,1704904550.647,1,0x6d60960e4ee86e3b477f23b4ed0971786f71d1b2a6fe68f6a751f95d3cefc49e,347608,27456919369,1.000,1
33,1704904551.619,1,0x285ea3e26c1db6507965f5a14b0e8521806587b920e13bde478c57c9c44095b5,456353,5676082134,1.000,2
34,1704904552.343,1,0x642434e774c8ec90c71c6c01609db47834e6a0cfdb55820e8a3ebb3c55cbef56,347794,31641603832,1.000,1
35,1704904553.011,1,0x343c72ba0081021f9768f0676255f8cd09a144a25460f3933c2d49071662ee99,323821,9291965679,1.000,1
36,1704904553.92,1,0x7d672c741d3510d0cda4ce1193b43b76b7d354aadda1240a2e95f8729e4913ef,437306,25743093942,1.000,2
37,1704904554.603,1,0xba6655ccd404989f93fb4897b94bb37fff4ff2b0499ee69a46bb3c187c77091a,654796,26633257847,1.000,4
38,1704904555.27,1,0xc33c6b5e0693ed4d400e2909f6a5b79e5eb74f1b98649290f5c17329a935e39b,568485,28733825771,1.000,3
39,1704904556.328,1,0xc8372e9e2e934b1e30b9ff7ce7f052431b9a99d194627a8a3c906c77227d0fc1,1208822,6498109078,1.000,9
40,1704904557.007,1,0xe6bec3a064ad396303d2d65979d1d7be2cc59697bc79e395658a1f9ecbad9941,323927,26254301655,1.000,1
41,1704904557.696,1,0x0d92fced343e560b4d3b6abba7dd1beda2a7e93caa3cb2c9bd05ffe8ebd610c1,347778,19396144253,1.000,1
42,1704904558.396,1,0x9f468aa450dfa44a3ccfc27146ed84270a7570ecf8525c2b3f2ff23b82ec4411,572690,18419492562,1.000,3
