index,time,chainId,txhash,taskId,spentAmount,spentAmount(USD),events,gasUsed,gasPrice,ethPrice,feeInETH,feeInUsd,originChain,originEthPrice,relayerFee,relayerFeeInUsd
18,2023-02-06 16:09:43.886128,137,0xf0f68cf4c49d97f3518d2927e1b39a9f187001d790f1dc107df8f57a0b12b626,0xb9d7b05b5d7386c23cadadd503cbe5f9e61f9e7e2265a7aef99a2c3642f613ac,242710,$0.24,connext:TokenSwap->connext:Executed,404144,449008589745,1.190,181464127493903280,0.215760847590250999,56,328.825300943183,829434812002403,0.27273890205669016
19,2023-02-06 16:13:31.409484,137,0xf4c6d580fb608aa14bf013590771b7ae38bb0b2bd3090f294cf9234e97c579c5,0x8b4bacc93d8daf1c54d94c4f6ae38e46db7ccd89cee34cd1f5633e184aae25dc,212251,$0.21,connext:TokenSwap->connext:Executed,404080,392882063117,1.190,158755784064317360,0.188760627252473341,100,0.9996501383967786,307000947444157077,0.3066939464967129
20,2023-02-03 14:00:56.569211,137,0x9cd7dc3eb433770af88cb1614e3960e52322a9e37371c4e97609bd3109904cf1,0x976b54fd2210a4009042f2bebddb2e3d5710aa62a2cd7dbc96ed2a4846c02056,211161,$0.21,connext:TokenSwap->connext:Executed,388145,419754283705,1.246,162925526448677225,0.202842280428603145,1,1666.9954102238612,132018124462166,0.2200735533878084
21,2023-02-06 16:08:43.530776,137,0x648057c186678b8445331ade8d958fdb7f7721fdcff720c5fc6d39f989d9b292,0x377d739ebd67497f32bf59b0efe65b5efa0d88f506cd3d4c0820249592169dbf,206341,$0.21,connext:TokenSwap->connext:Executed,404124,385477337615,1.190,155780643586324260,0.185223185224139545,56,328.7565385959042,438728451512017,0.14423461080528466
22,2023-02-02 18:28:31.037249,137,0xb91ca03295044483ab1d01b30dffac1495cb9166ad63c26e51be8ee675626e7b,0x8be3ca51429496a5ac1d4820565dc4885e54b7503db5f49752fe9da4c34e6138,203960,$0.20,connext:TokenSwap->connext:Executed,404136,366325753039,1.186,148045424530169304,0.175433828068250625,42161,1644.2982462045045,143781630557950,0.23641984756317605
23,2023-02-01 19:19:51.808625,137,0xebe439a58cf611137dbaf0503c2d416995158e1eb96c4ec29cf857f3f3d0fe2b,0xfb95a793c12ac34f46c9ff2cd4a2b98730b207c8dff5f5ed827e597115c8a2d6,179910,$0.18,connext:ExternalCalldataExecuted->connext:Executed,223330,664967539697,1.197,148507200640531010,0.177763119166715618,1,1642.8295124778838,166833432655384,0.2740788013358118
24,2023-02-03 13:53:22.490812,137,0xaf48eef24fdc9c4d7e074e08ed45fc88146133f6d5b1e14daec1e7d8ad478e71,0xa67257be5ef0faac4bc6ed8a1ad55a83ab8e5975e3434bd5b70eedc3f5634dbe,174636,$0.17,connext:TokenSwap->connext:Executed,388209,344392437368,1.246,133696243718193912,0.16645182342915142,56,331.357225085156,642136279775423,0.21277635125754482
25,2023-02-02 10:54:31.983940,137,0xaea900d1d9e8e2746d622cc891dd136176f9ccb5e75c2bbfbd9beabe6bbe40c4,0xb40c646c6d5fd5cbd0209ee0fa1e9258f9ea0f184ddf5848ef6c2e38ecadd9e2,169175,$0.17,connext:TokenSwap->connext:Executed,405385,309264196344,1.186,125371066234912440,0.148564713488371241,42161,1644.2982462045045,119362438098795,0.19626741824097244
26,2023-02-06 16:21:06.190021,137,0x8e6b682aeb918f1c94ccf593ddc4055313255ad3d92f50c35045d96f3badb2bf,0xc6d77883b22773f64716efb37603d00b2db74cb5e5ca79a456ff879c7d12a761,168776,$0.17,connext:TokenSwap->connext:Executed,404116,311025220587,1.190,125690268042736092,0.149445728702813213,100,0.9996501383967786,206669334331345916,0.20646266499701457
27,2023-02-03 13:48:19.472141,137,0x8cebe6a450a3724ab3685211d1d24b9b4d0b962f75dcd50624c9adeab0de22fb,0xf00792cda3b4a6b663b3e51844b66d2ac8c57c79ff7d7687532cfa9b5225a3ab,162989,$0.16,spokeConnector:AggregateRootVerified->spokeConnector:MessageProven->spokeConnector:Process,349057,357490420421,1.246,124784533680892997,0.155356744432711781,0,0,0,0
